repeticao;algoritmo;n;energia_j;tempo_exe_s;tempo_cpu_s;potencia_exe_w;potencia_cpu_w
1;bubble_sort;10000;123.16;17.168332;17.165556;7.173673;7.174833
1;bubble_sort;50000;3063.15;453.187127;453.148163;6.759128;6.759710
1;bubble_sort;100000;12261.25;1838.279192;1838.137175;6.669961;6.670476
2;bubble_sort;10000;116.70;17.130181;17.129585;6.812537;6.812775
2;bubble_sort;50000;2889.25;428.166813;428.147634;6.747954;6.748256
2;bubble_sort;100000;11638.90;1742.287944;1742.187999;6.680239;6.680622
3;bubble_sort;10000;112.89;16.406212;16.405227;6.880930;6.881343
3;bubble_sort;50000;3050.15;455.743178;455.719722;6.692695;6.693039
3;bubble_sort;100000;11559.13;1732.267930;1732.165006;6.672830;6.673227
4;bubble_sort;10000;110.54;16.253055;16.251335;6.801183;6.801903
4;bubble_sort;50000;2842.28;423.637613;423.616181;6.709225;6.709564
4;bubble_sort;100000;11978.45;1795.096275;1794.978141;6.672873;6.673312
5;bubble_sort;10000;114.75;17.075110;17.074293;6.720308;6.720630
5;bubble_sort;50000;3093.62;458.115265;458.093016;6.752929;6.753257
5;bubble_sort;100000;12062.13;1803.320820;1803.203361;6.688843;6.689279
6;bubble_sort;10000;113.14;16.594102;16.593251;6.818085;6.818435
6;bubble_sort;50000;3012.40;452.582867;452.562118;6.656019;6.656324
6;bubble_sort;100000;12410.50;1893.493232;1893.365162;6.554288;6.554731
7;bubble_sort;10000;108.74;16.159864;16.158490;6.729017;6.729589
7;bubble_sort;50000;2843.80;424.401082;424.378731;6.700737;6.701090
7;bubble_sort;100000;13467.85;2035.378030;2035.224164;6.616879;6.617379
8;bubble_sort;10000;112.67;16.422148;16.419117;6.860856;6.862123
8;bubble_sort;50000;2735.36;409.184322;409.167091;6.684909;6.685191
8;bubble_sort;100000;13202.72;2002.707747;2002.594486;6.592435;6.592808
9;bubble_sort;10000;114.07;16.737327;16.731212;6.815306;6.817797
9;bubble_sort;50000;2787.07;417.843384;417.826618;6.670131;6.670398
9;bubble_sort;100000;11959.92;1807.139990;1807.013914;6.618148;6.618610
10;bubble_sort;10000;115.56;17.338961;17.338260;6.664759;6.665029
10;bubble_sort;50000;2947.11;436.991832;436.964928;6.744085;6.744500
10;bubble_sort;100000;11930.17;1799.562091;1799.445987;6.629485;6.629913

1;bubble_sort_melhorado;10000;85.99;12.157469;12.156832;7.073018;7.073389
1;bubble_sort_melhorado;50000;2070.44;302.524347;302.489195;6.843879;6.844674
1;bubble_sort_melhorado;100000;7552.11;1115.822240;1115.714692;6.768202;6.768854
2;bubble_sort_melhorado;10000;77.10;11.411630;11.411188;6.756265;6.756527
2;bubble_sort_melhorado;50000;1973.61;299.977982;299.956722;6.579183;6.579649
2;bubble_sort_melhorado;100000;7844.02;1166.920006;1166.809863;6.721986;6.722621
3;bubble_sort_melhorado;10000;73.80;10.910197;10.909327;6.764314;6.764854
3;bubble_sort_melhorado;50000;1822.11;273.193939;273.182206;6.669657;6.669944
3;bubble_sort_melhorado;100000;7682.77;1154.314728;1154.261727;6.655698;6.656003
4;bubble_sort_melhorado;10000;80.57;11.935699;11.935090;6.750338;6.750682
4;bubble_sort_melhorado;50000;1912.92;285.952786;285.939894;6.689636;6.689937
4;bubble_sort_melhorado;100000;7465.13;1116.568108;1116.509350;6.685781;6.686133
5;bubble_sort_melhorado;10000;78.46;11.610535;11.610107;6.757656;6.757905
5;bubble_sort_melhorado;50000;2151.69;322.745312;322.731301;6.666836;6.667125
5;bubble_sort_melhorado;100000;7472.21;1118.541067;1118.477451;6.680318;6.680698
6;bubble_sort_melhorado;10000;73.93;10.938443;10.938011;6.758732;6.758999
6;bubble_sort_melhorado;50000;1861.87;281.682798;281.667935;6.609811;6.610160
6;bubble_sort_melhorado;100000;7654.15;1156.670496;1156.613588;6.617399;6.617724
7;bubble_sort_melhorado;10000;76.47;11.401751;11.401299;6.706865;6.707130
7;bubble_sort_melhorado;50000;1949.82;292.688077;292.676689;6.661768;6.662027
7;bubble_sort_melhorado;100000;7736.03;1149.866002;1149.797301;6.727767;6.728169
8;bubble_sort_melhorado;10000;74.33;11.036234;11.035635;6.735087;6.735453
8;bubble_sort_melhorado;50000;1872.36;283.553691;283.541963;6.603194;6.603467
