algoritmo;numero;energy_pkg_J;tempo_ns;variancia_pkg_pct;energy_cores_J;variancia_cores_pct
primos1.py;5;0,13;20392480;1,62;0,09;1,64
primos1.py;100;0,13;21240473;2,39;0,09;2,63
primos1.py;10007;0,12;20333428;3,75;0,09;3,84
primos1.py;100000;0,12;20421233;3,37;0,09;3,48
primos1.py;9999991;0,12;20601214;4,82;0,09;4,99
primos2.py;5;0,12;20260898;3,35;0,09;3,48
primos2.py;100;0,12;20445076;2,70;0,09;2,92
primos2.py;10007;0,13;20810567;2,40;0,10;2,44
primos2.py;100000;0,13;20324947;3,73;0,09;3,92
primos2.py;9999991;3,61;541735584;0,45;2,72;0,52
primos3.py;5;0,12;20493985;4,19;0,09;4,24
primos3.py;100;0,13;20577162;3,29;0,09;3,88
primos3.py;10007;0,12;20399227;4,44;0,09;4,67
primos3.py;100000;0,12;20405005;3,93;0,09;3,87
primos3.py;9999991;0,13;20646368;4,09;0,10;4,37
primos4.py;5;0,13;20580643;2,72;0,09;2,99
primos4.py;100;0,13;20289658;2,62;0,09;2,88
primos4.py;10007;0,12;20505255;3,15;0,09;3,23
primos4.py;100000;0,12;20372853;4,24;0,09;4,36
primos4.py;9999991;0,13;20546456;3,54;0,09;3,97
