repeticao;algoritmo;n;energia_j;tempo_exe_s;tempo_cpu_s;potencia_exe_w;potencia_cpu_w
1;bubblesort_1;10000;1.36;0.184298;0.183432;7.379337;7.414192
1;bubblesort_2;10000;1.03;0.136470;0.136306;7.547433;7.556527
1;bubblesort_3;10000;0.81;0.116958;0.116964;6.925591;6.925208
1;bubblesort_4_cocktail;10000;0.68;0.100672;0.100530;6.754625;6.764150
1;bubblesort_5_comb;10000;0.02;0.003275;0.003282;6.106037;6.093845
1;bubblesort_3_i64;10000;0.99;0.130464;0.127676;7.588324;7.754002
1;bubblesort_1;50000;36.52;5.398211;5.387545;6.765204;6.778598
1;bubblesort_2;50000;36.92;4.612440;4.510604;8.004440;8.185157
1;bubblesort_3;50000;29.37;4.017760;4.006991;7.310043;7.329690
1;bubblesort_4_cocktail;50000;26.81;3.475340;3.469259;7.714352;7.727875
1;bubblesort_5_comb;50000;0.09;0.013574;0.013525;6.630137;6.654344
1;bubblesort_3_i64;50000;28.08;3.953241;3.946363;7.103034;7.115412
1;bubblesort_1;100000;148.42;22.043197;21.978315;6.733143;6.753020
1;bubblesort_2;100000;127.94;17.641672;17.543647;7.252147;7.292668
1;bubblesort_3;100000;113.59;16.388959;16.325499;6.930886;6.957827
1;bubblesort_4_cocktail;100000;110.86;14.215278;14.131914;7.798652;7.844656
1;bubblesort_5_comb;100000;0.20;0.027774;0.027306;7.200934;7.324398
1;bubblesort_3_i64;100000;135.47;17.414195;17.275611;7.779286;7.841691
